"id","temp_humidity","temp_pressure","pressure","humidity","pitch","roll","yaw","compass_x","compass_y","compass_z","acc_x","acc_y","acc_z","gyro_x","gyro_y","gyro_z","capture_time","capture_timestamp","status","comment"
"1","36.8632","36.7729","1013.09","34.5991","104.852","0.863144","358.221","-18.7559","-5.71481","-26.9958","0.0150531","0.0312755","0.999401","-0.00714438","-0.00398713","0.0039527","2015-12-08 14:51:51","1449557511313","Synced","Still"
"2","36.8452","36.7729","1013.08","35.9224","105.438","0.974497","358.152","-18.5805","-5.89098","-27.127","0.0150531","0.0310331","0.999157","-0.00832034","-0.00273648","0.00365206","2015-12-08 14:51:51","1449557511529","Synced","Still"
"3","36.9172","36.7854","1013.09","35.7402","105.12","1.01625","358.221","-18.6616","-5.78015","-27.6567","0.0152959","0.0317604","0.999644","-0.00925639","-0.00365672","0.00392764","2015-12-08 14:51:51","1449557511749","Synced","Still"
"4","36.8092","36.7875","1013.08","35.0081","105.274","0.807268","358.249","-18.5408","-5.80068","-27.2476","0.0143248","0.031518","0.99867","-0.00765918","-0.00295124","0.00422751","2015-12-08 14:51:51","1449557511950","Synced","Still"
"5","36.8992","36.7792","1013.08","34.8534","104.999","0.93274","358.193","-18.4113","-5.67942","-27.0515","0.0167527","0.0307906","0.999401","-0.00713462","-0.00457293","0.0023512","2015-12-08 14:51:52","1449557512153","Synced","Still"
"6","36.8992","36.7792","1013.09","36.4586","105.578","0.890765","358.222","-18.5111","-5.88298","-26.6431","0.0162671","0.031518","0.999644","-0.00954668","-0.00481882","0.00245129","2015-12-08 14:51:52","1449557512403","Synced","Still"
"7","36.8092","36.775","1013.09","34.0698","105.038","0.849017","358.249","-18.5637","-5.71099","-26.8512","0.0160243","0.0320029","0.999401","-0.0059727","-0.00153545","0.00545925","2015-12-08 14:51:52","1449557512603","Synced","Still"
"8","36.7912","36.7792","1013.09","34.6472","105.402","0.890983","358.152","-18.601","-5.89245","-27.0462","0.0165099","0.0322453","0.999644","-0.0080457","-0.00214555","0.0036625","2015-12-08 14:51:52","1449557512807","Synced","Still"
"9","36.8272","36.7896","1013.08","35.204","104.841","0.960578","358.235","-18.6035","-5.66103","-27.315","0.0155387","0.0305482","0.999644","-0.00777467","-0.00664012","0.00213602","2015-12-08 14:51:53","1449557513015","Synced","Still"
"10","36.8272","36.7833","1013.08","35.2178","105.713","0.946659","358.166","-18.3167","-5.90581","-27.0737","0.0152959","0.0320029","0.999401","-0.0068191","-0.00295688","0.00482879","2015-12-08 14:51:53","1449557513239","Synced","Still"
